asset,symbol,price_usd,open_usd,high_usd,low_usd,change_24h_pct,range_pos_pct,trend
BTC,BTCUSDT,76118.01,77538.07,77550.0,74937.52,-1.831,45.18656602155777,偏弱震荡
ETH,ETHUSDT,2261.39,2329.04,2329.05,2220.36,-2.905,37.749562977274564,偏弱震荡
