rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,63164426529.10752,26.7812395,8737200516.996351,54427226012.11117
2,Coinbase Exchange,coinbase-exchange,1852018317.8586285,24.35775702,1852018317.8586285,0.0
3,Upbit,upbit,1109539005.133296,5.35634424,1109539005.133296,0.0
6,OKX,okx,25719630617.63792,25.40927443,1661905191.1233358,24057725426.514584
7,Bybit,bybit,16836952182.728739,28.08895995,2061973064.968088,14774979117.76065
8,Bitget,bitget,10100553011.197063,24.66551751,985372268.8905103,9115180742.306553
9,Gate,gate,15283977808.851748,23.64358744,1627492599.3936594,13656485209.458088
10,KuCoin,kucoin,4757837854.6870775,31.23488567,1982128878.4258757,2775708976.261202
13,MEXC,mexc,21704485697.500008,0.26551412,1099844563.7165756,20604641133.783432
21,HTX,htx,4124875520.3508654,27.45198249,1202847455.6460032,2922028064.704862
