protocol,chain,asset,supply_apy_pct,rewards_apy_pct,total_apy_pct,borrow_apy_pct,tvl_usd,total_supply_usd,total_borrow_usd,utilization_pct,supply_cap_usd,borrow_cap_usd,available_liquidity_usd,can_be_collateral,is_paused,is_frozen,data_completeness,risk_note,safety_rank,pool_id,source_primary,source_tags,updated_at_utc
Aave,Ethereum,USDC,4.124377729214665,,4.64773,4.964840674049432,126302510.0,,,92.67610384182046,4999420500.0,4499478450.0,136647632.9165725,True,False,False,6,审计成熟/头部流动性,1,aa70268e-4b52-42bf-a116-608b370f9501,DefiLlama+Aave API,"DefiLlama,Aave API",2026-04-27T12:01:17.722816+00:00
Aave,Ethereum,USDT,5.580924490729706,,5.07261,6.634307987395892,123132508.0,,,93.9387383346106,6001186800.0,5401068120.0,116550201.94832417,True,False,False,6,审计成熟/头部流动性,1,f981a304-bb6c-45b8-b0c5-fd2f515ad23a,DefiLlama+Aave API,"DefiLlama,Aave API",2026-04-27T12:01:17.722824+00:00
Aave,Ethereum,USDS,0.6380327149673227,,1.45269,5.784037325980254,24714626.0,,,15.081231712457633,49975700.0,34183378.8,29706648.296259966,False,False,False,6,审计成熟/头部流动性,1,e65588a1-27ad-4e20-9232-68a6cfaccf63,DefiLlama+Aave API,"DefiLlama,Aave API",2026-04-27T12:01:17.722934+00:00
Aave,Ethereum,DAI,9.094342753716726,,8.8608,13.187814485937693,7018982.0,,,93.68861668570287,199979000.0,179981100.0,7076977.562405016,False,False,False,6,审计成熟/头部流动性,1,3665ee7e-6c5d-49d9-abb7-c47ab5d9d4ac,DefiLlama+Aave API,"DefiLlama,Aave API",2026-04-27T12:01:17.723105+00:00
Aave,Ethereum,PYUSD,3.89721428506071,,3.82319,4.994502165282692,3559229.0,,,87.16006360680797,300049719.0,270044747.1,3560384.990359581,True,False,False,6,审计成熟/头部流动性,1,d118f505-e75f-4152-bad3-49a2dc7482bf,DefiLlama+Aave API,"DefiLlama,Aave API",2026-04-27T12:01:17.723245+00:00
Aave,Base,USDC,3.5083269088795817,,3.44898,4.474021362430105,21652444.0,,,87.53639633877681,229992849.3,206993564.37,21676819.161407065,True,False,False,6,审计成熟/头部流动性,2,7e0661bf-8cf3-45e6-9424-31916d4c7b84,DefiLlama+Aave API,"DefiLlama,Aave API",2026-04-27T12:01:17.722951+00:00
Aave,Arbitrum,USDC,5.173610270873345,,5.89334,6.2753960042460655,10856785.0,,,92.08633928902071,299952000.0,269956800.0,12482697.446690338,True,False,False,6,审计成熟/头部流动性,2,d9fa8e14-0447-4207-9ae8-7810199dfa1f,DefiLlama+Aave API,"DefiLlama,Aave API",2026-04-27T12:01:17.723035+00:00
Aave,Arbitrum,DAI,3.328141345302889,,3.27855,5.048045475344263,366971.0,,,88.64550789112741,4899298.32,4409368.488,369664.82799324405,False,False,False,6,审计成熟/头部流动性,2,a8e3d841-2788-4647-ad54-5a36fac451b1,DefiLlama+Aave API,"DefiLlama,Aave API",2026-04-27T12:01:17.724024+00:00
Spark,Ethereum,USDT,3.0,,3.0,,993251533.0,,,,,,,,,,2,Aave系改造/审计覆盖,2,a5d67f7e-5b51-4a9d-969d-caf051a7f5a4,DefiLlama,DefiLlama,2026-04-27T12:01:17.722766+00:00
Spark,Ethereum,USDC,3.65,,3.65,,522266757.0,,,,,,,,,,2,Aave系改造/审计覆盖,2,c5c74dd1-995c-4445-9d84-3e710bad7d52,DefiLlama,DefiLlama,2026-04-27T12:01:17.722778+00:00
