rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,50386791755.56036,86.04665164,7115051923.229136,43271739832.33122
2,Coinbase Exchange,coinbase-exchange,1343983584.8492637,91.46813743,1343983584.8492637,0.0
3,Upbit,upbit,1431219536.3377552,-23.80421919,1431219536.3377552,0.0
6,OKX,okx,22001328213.6415,98.74387856,1294607557.7376897,20706720655.90381
7,Bybit,bybit,15468749887.064384,101.53088346,2471489231.9029317,12997260655.161453
8,Bitget,bitget,8704921117.623053,100.81931771,834770610.2500843,7870150507.372969
9,Gate,gate,13448951084.441624,146.17110289,1364387490.5322027,12084563593.90942
11,KuCoin,kucoin,3844877893.28846,53.46124874,1520447920.7340417,2324429972.554418
13,MEXC,mexc,14360551990.153316,76.79733387,947855911.5371059,13412696078.61621
22,HTX,htx,4017660440.5581303,111.51976435,1559931930.3561943,2457728510.201936
