source,asset,daily_rate_pct,annual_rate_pct,borrow_limit,tier,rate_basis,updated_at_utc
Binance,USDT,0.008208,2.99592,100000.0,VIP0,daily,2026-04-27T12:01:12.019389+00:00
OKX,USDT,0.0068639999999999994,2.50536,5000000.0,Public,daily,2026-04-27T12:01:13.029947+00:00
Backpack,USDT,0.009286599702887463,3.389608891553924,50000000.0,Public,annual,2026-04-27T12:01:14.913190+00:00
Binance,USDC,0.00758,2.7667,100000.0,VIP0,daily,2026-04-27T12:01:12.019616+00:00
OKX,USDC,0.00276,1.0074,1000000.0,Public,daily,2026-04-27T12:01:13.030005+00:00
Backpack,USDC,0.004318750304737514,1.5763438612291927,300000000.0,Public,annual,2026-04-27T12:01:14.913254+00:00
Binance,BTC,0.001142,0.4168300000000001,60.0,VIP0,daily,2026-04-27T12:01:12.020114+00:00
OKX,BTC,0.00276,1.0074,175.0,Public,daily,2026-04-27T12:01:13.030356+00:00
Backpack,BTC,0.0010056964038861417,0.3670791874184417,3000.0,Public,annual,2026-04-27T12:01:14.913299+00:00
Binance,ETH,0.00579,2.11335,400.0,VIP0,daily,2026-04-27T12:01:12.020192+00:00
OKX,ETH,0.005496,2.00604,7000.0,Public,daily,2026-04-27T12:01:13.030372+00:00
Backpack,ETH,0.0055086581832841635,2.0106602368987194,20000.0,Public,annual,2026-04-27T12:01:14.913315+00:00
