symbol,name,price_usd,market_cap_usd,change_24h_pct
BTC,Bitcoin,66385.0,1331281911598.0,0.34625222577274056
ETH,Ethereum,1798.22,216944520207.0,2.054172577442961
USDT,Tether,0.999285,186419893836.0,-0.013414841628050893
BNB,BNB,613.22,82730170125.0,-1.1162815789452123
XRP,XRP,1.24,76753488575.0,0.49693213081394166
USDC,USDC,0.999784,74990879929.0,-0.00282729620425647
SOL,Solana,74.54,43259687078.0,2.7103878971451856
TRX,TRON,0.317158,30083408767.0,-1.0977324183099986
FIGR_HELOC,Figure Heloc,1.027,19330310285.0,1.2701057764126655
HYPE,Hyperliquid,75.03,16754227553.0,10.828145966466447
