rank,name,slug,volume30d_usd,pct30d,volume7d_usd,pct7d,spot24h_usd,deriv24h_usd
1,Binance,binance,1305534108379.5425,-11.39457731,1209107240142.1692,8.80800432,8529515925.219673,52051228384.851494
2,Coinbase Exchange,coinbase-exchange,51321668946.20257,2.24326296,35267298024.40491,6.85121149,1919309186.9685993,0.0
3,Upbit,upbit,38806169694.093056,4.77986826,11318950999.11902,3.17871366,1642968741.5713234,0.0
6,OKX,okx,703250920881.2308,-12.17451753,138225541080.65063,18.58943935,1666605908.2271547,21124948831.49486
7,Bybit,bybit,481131295103.4881,-11.0343658,111928344300.70663,16.61823407,2544424154.977784,15599993337.122938
8,Bitget,bitget,309643944035.13086,-9.4094323,79216660495.34894,22.76051773,1139433203.8442092,9763645450.075071
9,Gate,gate,497071990935.0648,-0.9139377,98648411165.99933,21.05433971,2006090962.1248348,16558055815.70526
10,KuCoin,kucoin,227248626868.66495,118.50715409,58409605238.20189,-47.53745146,1883039467.0404937,10297248040.933971
15,MEXC,mexc,156273150014.612,-24.35612595,43754443558.82405,-15.53056436,2585220828.269431,10531834430.470383
25,HTX,htx,126799485251.67155,-8.79677387,31176851297.333378,33.15514929,1775238297.5974023,2734112478.138814
