asset,provider,apy_pct,source
DAI,EarnPark,7.0,Bitcompare
PYUSD,Euler Finance,4.28,Bitcompare
TUSD,JustLend,1.63,Bitcompare
USDC,EarnPark,4.0,Bitcompare
USDE,Pendle,4.23,Bitcompare
USDP,Nexo,10.5,Bitcompare
USDT,Bitfinex,8.42,Bitcompare
