symbol,name,price_usd,market_cap_usd,change_24h_pct
BTC,Bitcoin,66428.0,1331281911598.0,0.4102046263299409
ETH,Ethereum,1801.46,216944520207.0,2.238100291580903
USDT,Tether,0.99933,186419893836.0,-0.008925781741490278
BNB,BNB,613.53,82730170125.0,-1.0654807441602365
XRP,XRP,1.24,76753488575.0,0.5994927170959538
USDC,USDC,0.999801,74990879929.0,-0.0011678283796241827
SOL,Solana,74.57,43259687078.0,2.7617757919639674
TRX,TRON,0.317239,30083408767.0,-1.0723257887097737
FIGR_HELOC,Figure Heloc,1.027,19330310285.0,1.2701057764126655
HYPE,Hyperliquid,74.96,16754227553.0,10.71806888415666
