currency,instrument,last_price,mark_price,open_interest,current_funding,funding_8h,volume_usd_24h
BTC,BTC-PERPETUAL,78735.0,78733.98,936367660.0,0.00016003,3.94e-06,166928550.0
ETH,ETH-PERPETUAL,2326.0,2325.87,311899472.0,0.0,0.0,31563404.0
