source,asset,daily_rate_pct,annual_rate_pct,borrow_limit,tier,rate_basis,updated_at_utc
Binance,USDT,0.008208,2.99592,100000.0,VIP0,daily,2026-04-23T12:01:01.508327+00:00
OKX,USDT,0.0068639999999999994,2.50536,5000000.0,Public,daily,2026-04-23T12:01:02.486579+00:00
Backpack,USDT,0.011949132563287126,4.361433385599802,50000000.0,Public,annual,2026-04-23T12:01:05.542193+00:00
Binance,USDC,0.007878999999999999,2.875835,100000.0,VIP0,daily,2026-04-23T12:01:01.508435+00:00
OKX,USDC,0.0068639999999999994,2.50536,1000000.0,Public,daily,2026-04-23T12:01:02.486607+00:00
Backpack,USDC,0.004416134956747875,1.6118892592129743,300000000.0,Public,annual,2026-04-23T12:01:05.542235+00:00
Binance,BTC,0.001145,0.417925,60.0,VIP0,daily,2026-04-23T12:01:01.508627+00:00
OKX,BTC,0.00276,1.0074,175.0,Public,daily,2026-04-23T12:01:02.486794+00:00
Backpack,BTC,0.0005190327129816572,0.18944694023830488,3000.0,Public,annual,2026-04-23T12:01:05.542285+00:00
Binance,ETH,0.0058,2.117,400.0,VIP0,daily,2026-04-23T12:01:01.508658+00:00
OKX,ETH,0.005496,2.00604,7000.0,Public,daily,2026-04-23T12:01:02.486803+00:00
Backpack,ETH,0.0043639978926496474,1.5928592308171212,20000.0,Public,annual,2026-04-23T12:01:05.542304+00:00
