rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,64936753517.1898,-5.39810585,10294184282.084557,54642569235.10524
2,Coinbase Exchange,coinbase-exchange,2055840648.5964003,2.11906903,2055840648.5964003,0.0
3,Upbit,upbit,1788483902.5976334,35.86548098,1788483902.5976334,0.0
6,OKX,okx,24932742308.704437,-8.1442367,1685228277.6951733,23247514031.009266
7,Bybit,bybit,17234550796.84621,-8.62635709,2853986013.7656484,14380564783.080563
8,Bitget,bitget,10983326478.212862,-6.90698459,1133268439.4823012,9850058038.73056
9,Gate,gate,15031469682.072552,-7.10226945,1328639897.5485132,13702829784.524038
10,KuCoin,kucoin,4736890249.283482,-7.99565896,1865393526.6738281,2871496722.6096535
14,MEXC,mexc,16667753215.669207,-8.42538601,1199699934.1126144,15468053281.556593
22,HTX,htx,4554558942.151424,-8.69157708,1501498725.7927277,3053060216.358697
