asset,protocol,chain,total_apy_pct,base_apy_pct,rewards_apy_pct,tvl_usd,source
SUSDS,sky-lending,Ethereum,3.6,3.6,,4735457345.0,DefiLlama API
USDC,maple,Ethereum,4.851,4.851,0.0,3418787411.0,DefiLlama API
USYC,circle-usyc,BSC,3.15351,3.15351,,2911667974.0,DefiLlama API
SUSDE,ethena-usde,Ethereum,3.91461,3.91461,,1583708988.0,DefiLlama API
USDY,ondo-yield-assets,Ethereum,3.55,3.55,,1107973114.0,DefiLlama API
USDT,maple,Ethereum,4.0704,4.0704,0.0,970210083.0,DefiLlama API
BUIDL,blackrock-buidl,Ethereum,3.56118,3.56118,,962278582.0,DefiLlama API
BUIDL,blackrock-buidl,Avalanche,3.53034,3.53034,,903131879.0,DefiLlama API
USDS,centrifuge-protocol,Ethereum,3.48404,3.48404,,868414547.0,DefiLlama API
BUIDL,blackrock-buidl,Aptos,3.2201,3.2201,,821870014.0,DefiLlama API
USTB,invesco-ustb,Ethereum,3.61899,3.61899,,666797073.0,DefiLlama API
USDY,ondo-yield-assets,Stellar,3.55,3.55,,532771924.0,DefiLlama API
BUSD0,usual-usd0,Ethereum,2.1789,,2.1789,508585476.0,DefiLlama API
USDC,jupiter-lend,Solana,4.28496,3.58251,0.70245,429203807.0,DefiLlama API
GTUSDCP,morpho-blue,Base,4.32436,4.32436,0.0,428144950.0,DefiLlama API
USDD,justlend-v1,Tron,3.97449,0.00071,3.97378,414631434.0,DefiLlama API
AUSD,centrifuge-protocol,Ethereum,2.14777,2.14777,,372586434.0,DefiLlama API
STEAKUSDC,morpho-blue,Base,4.36013,4.36013,0.0,370751507.0,DefiLlama API
BUIDL,blackrock-buidl,Solana,3.53008,3.53008,,360937190.0,DefiLlama API
SUSDS,sky-lending,Arbitrum,3.6,3.6,,360615992.0,DefiLlama API
SENPYUSDMAIN,morpho-blue,Ethereum,4.91595,1.94881,2.96714,328914475.0,DefiLlama API
SUSDAI,usd-ai,Arbitrum,7.23,7.23,,327498650.0,DefiLlama API
SENRLUSDV2,morpho-blue,Ethereum,5.95639,2.48402,3.47237,273401269.0,DefiLlama API
USDC,centrifuge-protocol,Avalanche,2.14777,2.14777,,260198313.0,DefiLlama API
USDY,ondo-yield-assets,Sei,3.55,3.55,,257580723.0,DefiLlama API
USDS,sky-lending,Ethereum,7.24309,,7.24309,232557588.0,DefiLlama API
USDG,maple,Ethereum,5.03907,5.03907,0.0,225035521.0,DefiLlama API
SDAI,sky-lending,Ethereum,1.25,1.25,,215136562.0,DefiLlama API
SIRLOINUSDC,morpho-blue,Base,5.46201,2.46373,2.99828,203711667.0,DefiLlama API
USDY,ondo-yield-assets,Solana,3.55,3.55,,181487772.0,DefiLlama API
STUSDS,sky-lending,Ethereum,6.99,6.99,,179787415.0,DefiLlama API
REUSD,re,Ethereum,6.1727,6.1727,,158135736.0,DefiLlama API
USDC,pareto-credit,Ethereum,8.31317,8.31317,,154404836.0,DefiLlama API
APXUSD,apyx-protocol,Ethereum,13.73675,13.73675,,151329182.0,DefiLlama API
USDT,fluid-lending,Ethereum,3.82,3.82,,147496160.0,DefiLlama API
USDC,fluid-lending,Ethereum,4.49,4.49,,142602598.0,DefiLlama API
USD1,lista-lending,BSC,0.58595,0.58595,0.0,137851238.0,DefiLlama API
RWAUSDI,multipli.fi,Ethereum,3.888,,,137339243.0,DefiLlama API
USD1,dolomite,Ethereum,7.98482,1.52973,6.45508,127648925.0,DefiLlama API
SENPYUSDPRIMEV2,morpho-blue,Ethereum,6.91924,5.1026,1.81664,124897842.0,DefiLlama API
RWAUSDI,multipli.fi,Base,3.888,,,123817261.0,DefiLlama API
AUSD,accountable,Monad,6.83765,6.5475,0.29015,113851245.0,DefiLlama API
BUIDL,blackrock-buidl,BSC,3.2201,3.2201,,110596602.0,DefiLlama API
STEAKEURCV,morpho-blue,Ethereum,3.5,3.5,0.0,105023113.0,DefiLlama API
SAVUSD,avant-avusd,Avalanche,8.09341,8.09341,,98422506.0,DefiLlama API
STEAKUSDG,morpho-blue,Robinhood Chain,2.93184,2.93184,0.0,95881868.0,DefiLlama API
STEAKUSDC,morpho-blue,Ethereum,3.5602,3.5602,0.0,95350922.0,DefiLlama API
USYC,circle-usyc,Ethereum,3.15351,3.15351,,91607948.0,DefiLlama API
STEAKUSDT,morpho-blue,Ethereum,2.8234,2.8234,0.0,88548037.0,DefiLlama API
ETHENAUSDC,morpho-blue,Base,3.61669,3.61669,0.0,79826263.0,DefiLlama API
MSUSD,mainstreet,Ethereum,0.27164,0.27164,0.0,74222719.0,DefiLlama API
USDC,midas-rwa,Ethereum,10.24,10.24,,73782082.0,DefiLlama API
GTUSDCP,morpho-blue,Ethereum,4.05544,4.05544,0.0,73115082.0,DefiLlama API
JUPUSD,jupiter-lend,Solana,5.20778,3.6965,1.51128,71446667.0,DefiLlama API
SUSDF,falcon-finance,Ethereum,5.85011,5.85011,,69532405.0,DefiLlama API
USD3,3jane-lending,Ethereum,6.27977,6.27977,,66735328.0,DefiLlama API
SDAI,sdai,Gnosis,4.08446,4.08446,,65880640.0,DefiLlama API
USDT,venus-core-pool,BSC,2.61179,2.61179,0.0,62909086.0,DefiLlama API
SKYMONEYUSDTSAVINGS,morpho-blue,Ethereum,3.34546,2.52521,0.82025,62873024.0,DefiLlama API
STUSDT,stusdt,Tron,3.49388,,,58642997.0,DefiLlama API
USDC,accountable,Monad,17.91311,17.6,0.31311,55583182.0,DefiLlama API
GTUSDA,gauntlet,Base,4.65991,4.65991,,52947197.0,DefiLlama API
FXUSDSTABILITYPOOLV20,fx-protocol,Ethereum,9.11,,,52099785.0,DefiLlama API
STCUSD,cap,Ethereum,5.85094,,,52055442.0,DefiLlama API
USDC,centrifuge-protocol,Base,2.14777,2.14777,,50174337.0,DefiLlama API
U,lista-lending,BSC,1.32715,1.32715,0.0,49901193.0,DefiLlama API
SRUSDE,strata-markets,Ethereum,3.03898,3.03898,,49339084.0,DefiLlama API
PUFETH,puffer-stake,Ethereum,1.56392,1.54831,0.01561,46140316.0,DefiLlama API
USDT,justlend-v1,Tron,2.81579,2.81579,0.0,44315862.0,DefiLlama API
USDT0,fluid-lending,Plasma,6.03,5.53,0.5,44307754.0,DefiLlama API
SUSDU,unitas,BSC,9.98537,9.98537,,41640837.0,DefiLlama API
SIUSD,infinifi,Ethereum,5.67732,5.67732,,39139034.0,DefiLlama API
USDC,fluid-lite,Ethereum,7.67,,,39089225.0,DefiLlama API
BBQUSDC,morpho-blue,Ethereum,5.16729,5.16729,0.0,38657633.0,DefiLlama API
USDC,goldfinch,Ethereum,9.99874,9.99874,,36721920.0,DefiLlama API
XUSDC,multipli.fi,Ethereum,3.81,,,36415767.0,DefiLlama API
SFRXUSD,frax,Ethereum,3.84945,3.84945,,36364922.0,DefiLlama API
