rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,61288611245.37862,-6.5419008,7571408860.114006,53717202385.26461
2,Coinbase Exchange,coinbase-exchange,1158109609.8576896,-16.98965065,1158109609.8576896,0.0
3,Upbit,upbit,530825714.0465855,-12.94117013,530825714.0465855,0.0
6,OKX,okx,24347575981.29482,-7.81062674,1221965948.0508585,23125610033.24396
7,Bybit,bybit,12932490185.900335,-14.19031512,1522300451.0039105,11410189734.896423
8,Bitget,bitget,8766202509.783285,-7.29461483,726403351.6221049,8039799158.16118
9,Gate,gate,13205747990.310648,-6.60274853,1379748716.018174,11825999274.292473
10,KuCoin,kucoin,2860434051.316787,-13.76907651,911062844.4096612,1949371206.9071255
15,MEXC,mexc,13440129720.221634,-1.35063625,1646317799.0063562,11793811921.215279
20,HTX,htx,2790699568.6997757,-0.72965008,1166263640.2871265,1624435928.412649
