symbol,name,price_usd,market_cap_usd,change_24h_pct
BTC,Bitcoin,64189.0,1287246958058.0,-0.7522451578631106
ETH,Ethereum,1883.16,227302932244.0,0.06615138471410237
USDT,Tether,0.999163,184204166109.0,0.007336807693462868
BNB,BNB,577.56,76930741775.0,-0.144390114993446
USDC,USDC,0.999896,73091023103.0,0.007781494676940883
XRP,XRP,1.11,69104530609.0,-0.0511618816361246
SOL,Solana,76.17,44343567578.0,-1.6135837252543024
TRX,TRON,0.323229,30664213516.0,-1.409710868019254
FIGR_HELOC,Figure Heloc,1.037,20719387051.0,0.05483967621142824
HYPE,Hyperliquid,65.82,14638364788.0,-3.6915944026729277
