source,asset,daily_rate_pct,annual_rate_pct,borrow_limit,tier,rate_basis,updated_at_utc
Binance,USDT,0.009236000000000001,3.3711400000000005,500000.0,VIP0,daily,2026-05-24T12:01:53.706570+00:00
OKX,USDT,0.0068639999999999994,2.50536,5000000.0,Public,daily,2026-05-24T12:01:54.657063+00:00
Backpack,USDT,0.010740859573450345,3.920413744309376,50000000.0,Public,annual,2026-05-24T12:01:56.374088+00:00
Binance,USDC,0.010975,4.005875,500000.0,VIP0,daily,2026-05-24T12:01:53.706824+00:00
OKX,USDC,0.0068639999999999994,2.50536,1000000.0,Public,daily,2026-05-24T12:01:54.657141+00:00
Backpack,USDC,0.00620477810047948,2.26474400667501,300000000.0,Public,annual,2026-05-24T12:01:56.374155+00:00
Binance,BTC,0.001119,0.40843499999999994,100.0,VIP0,daily,2026-05-24T12:01:53.707325+00:00
OKX,BTC,0.001392,0.50808,175.0,Public,daily,2026-05-24T12:01:54.657522+00:00
Backpack,BTC,0.0012238146451767932,0.4466923454895295,3000.0,Public,annual,2026-05-24T12:01:56.374197+00:00
Binance,ETH,0.006246,2.2797899999999998,2000.0,VIP0,daily,2026-05-24T12:01:53.707403+00:00
OKX,ETH,0.004128,1.5067199999999998,7000.0,Public,daily,2026-05-24T12:01:54.657554+00:00
Backpack,ETH,0.0028156065025459207,1.027696373429261,20000.0,Public,annual,2026-05-24T12:01:56.374212+00:00
