symbol,name,price_usd,market_cap_usd,change_24h_pct
BTC,Bitcoin,77206.0,1546354380727.0,3.3857699299190984
ETH,Ethereum,2123.2,256193505920.0,4.646535100746352
USDT,Tether,0.998748,189487558223.0,-0.012280000660355433
BNB,BNB,660.44,89009188916.0,3.2619293569860495
XRP,XRP,1.36,84308735887.0,2.9831028802215953
USDC,USDC,0.999695,76407685427.0,-0.01288722950462973
SOL,Solana,86.52,49964028384.0,5.211494905172319
TRX,TRON,0.364164,34522953637.0,1.4757601316812248
FIGR_HELOC,Figure Heloc,1.03,18627042084.0,0.8309547506895911
DOGE,Dogecoin,0.103115,15923299050.0,3.912913033105215
