rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,48081826104.86186,-21.55984343,6580735856.752103,41501090248.10976
2,Coinbase Exchange,coinbase-exchange,1278012044.93449,-13.84925667,1278012044.93449,0.0
3,Upbit,upbit,737906161.997804,-28.96532933,737906161.997804,0.0
6,OKX,okx,20154576766.167904,-20.56031732,1180495666.4347456,18974081099.73316
7,Bybit,bybit,13642552008.343605,-20.27688695,1647896549.1661851,11994655459.17742
8,Bitget,bitget,8819215438.985659,-22.39745778,1120197025.2828262,7699018413.702832
9,Gate,gate,12132086791.466455,-16.89757025,1316056823.0901659,10816029968.37629
12,KuCoin,kucoin,3318849972.1615415,-17.6343307,1082570260.1890457,2236279711.972496
15,MEXC,mexc,12414644885.937056,-32.76334575,1219575176.4884279,11195069709.448627
21,HTX,htx,3934653388.6626945,-23.31031889,941467618.9459847,2993185769.71671
