rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,65126903335.02053,-20.09927959,8735433209.194544,56391470125.82599
2,Coinbase Exchange,coinbase-exchange,1570089893.9139824,-17.82492227,1570089893.9139824,0.0
3,Upbit,upbit,976200206.209002,-41.11336377,976200206.209002,0.0
6,OKX,okx,25634766333.441906,-21.69400042,1924641167.1628842,23748902513.583717
7,Bybit,bybit,17574630321.20444,-21.84313119,2008542007.4892395,15566088313.715202
8,Bitget,bitget,11029798265.813137,-20.93805221,820365313.7730842,10209432952.040052
9,Gate,gate,20377724510.507214,-24.4273626,1923250078.897403,18454474431.60981
10,KuCoin,kucoin,15657560653.445162,-38.54425077,2418561023.326859,13238999630.118303
13,MEXC,mexc,14657042774.06674,-6.46727296,2685281301.4951835,11971761472.571556
21,HTX,htx,3878505118.6427836,-28.27998104,1002888501.0728925,2875616617.569891
