symbol,name,price_usd,market_cap_usd,change_24h_pct
BTC,Bitcoin,74048.0,1481124308247.0,0.5082872344707299
ETH,Ethereum,2327.46,280899534749.0,2.0637640295007498
USDT,Tether,0.999981,184064790921.0,-0.004350769456953948
XRP,XRP,1.51,92578570815.0,2.805485819388938
BNB,BNB,667.84,91056024924.0,-1.5884029611048587
USDC,USDC,0.999904,79350820952.0,5.703423140346443e-06
SOL,Solana,93.75,53579985075.0,-0.029846060579921955
TRX,TRON,0.30179,28587917066.0,1.1986626859954397
FIGR_HELOC,Figure Heloc,1.027,16265452266.0,0.9178281808344586
DOGE,Dogecoin,0.100178,15368965983.0,0.18980791777388653
