rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,85387234566.02138,21.50686266,12748696743.078146,72638537822.94324
2,Coinbase Exchange,coinbase-exchange,2582495706.236269,33.36663402,2582495706.236269,0.0
3,Upbit,upbit,2483874443.402439,51.14817128,2483874443.402439,0.0
6,OKX,okx,35994422281.88338,26.91483859,2422299873.6692944,33610899755.51878
7,Bybit,bybit,23862666929.048325,24.98674305,3058148483.481887,20804518445.566437
8,Bitget,bitget,13736010215.50803,28.40287579,1146147590.3686466,12589862625.139383
9,Gate,gate,26157539209.98168,27.79439352,2515396985.7689734,23642142224.212708
10,KuCoin,kucoin,17123682215.017067,45.5317533,3224664966.8152504,13899017248.201817
12,MEXC,mexc,17384953667.623,18.60694024,4034848486.3220906,13350105181.30091
22,HTX,htx,5749289938.7815485,20.53159553,1344453624.398095,4404836314.383453
