rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,70966186350.00644,-12.37582286,13537721604.661041,57428464745.345406
2,Coinbase Exchange,coinbase-exchange,2700159017.4495435,-13.11854991,2700159017.4495435,0.0
3,Upbit,upbit,1115062403.7777615,-10.74015712,1115062403.7777615,0.0
6,OKX,okx,26418935094.386173,-23.55673315,1815801167.3192065,24603133927.066967
7,Bybit,bybit,19003291137.699875,-10.48071077,2368499224.482084,16634791913.21779
8,Bitget,bitget,11819254634.730396,-13.16724623,1029751795.0441196,10789502839.686277
9,Gate,gate,16652320730.059025,-10.64648802,1342551284.6565793,15309769445.402447
10,KuCoin,kucoin,5803223847.587095,-9.16274921,2275582435.6461134,3527641411.9409823
12,MEXC,mexc,21055322368.378273,-12.28126065,1015562048.9161961,20039760319.462074
20,HTX,htx,4285198909.7968054,-21.40246506,1281721767.2746582,3003477142.522147
