source,asset,daily_rate_pct,annual_rate_pct,borrow_limit,tier,rate_basis,updated_at_utc
Binance,USDT,0.008208,2.99592,100000.0,VIP0,daily,2026-05-02T12:02:42.757193+00:00
OKX,USDT,0.0068639999999999994,2.50536,5000000.0,Public,daily,2026-05-02T12:02:43.127406+00:00
Bybit,USDT,0.008208,2.99592,8000000.0,No VIP,hourly,2026-05-02T12:02:43.715067+00:00
Backpack,USDT,0.008286944607495125,3.02473478173572,50000000.0,Public,annual,2026-05-02T12:02:44.132202+00:00
Binance,USDC,0.008043,2.935695,100000.0,VIP0,daily,2026-05-02T12:02:42.757447+00:00
OKX,USDC,0.0068639999999999994,2.50536,1000000.0,Public,daily,2026-05-02T12:02:43.127476+00:00
Bybit,USDC,0.0077611848,2.832832452,3500000.0,No VIP,hourly,2026-05-02T12:02:43.715107+00:00
Backpack,USDC,0.005312518940604388,1.939069413320602,300000000.0,Public,annual,2026-05-02T12:02:44.132285+00:00
Bybit,USDE,0.013699099200000002,5.000171208000001,1013200.0,No VIP,hourly,2026-05-02T12:02:43.715255+00:00
Binance,BTC,0.001118,0.40806999999999993,60.0,VIP0,daily,2026-05-02T12:02:42.757956+00:00
OKX,BTC,0.00276,1.0074,175.0,Public,daily,2026-05-02T12:02:43.127800+00:00
Bybit,BTC,0.001117896,0.40803204000000004,300.0,No VIP,hourly,2026-05-02T12:02:43.715265+00:00
Backpack,BTC,0.001005385016792866,0.36696553112939606,3000.0,Public,annual,2026-05-02T12:02:44.132364+00:00
Binance,ETH,0.006273000000000001,2.289645,400.0,VIP0,daily,2026-05-02T12:02:42.758034+00:00
OKX,ETH,0.005496,2.00604,7000.0,Public,daily,2026-05-02T12:02:43.127817+00:00
Bybit,ETH,0.006435888000000001,2.34909912,2000.0,No VIP,hourly,2026-05-02T12:02:43.715273+00:00
Backpack,ETH,0.0037308806900144746,1.3617714518552833,20000.0,Public,annual,2026-05-02T12:02:44.132393+00:00
