asset,symbol,price_usd,open_usd,high_usd,low_usd,change_24h_pct,range_pos_pct,trend
BTC,BTCUSDT,78121.67,77505.01,78914.12,77408.73,0.796,47.35915609908413,区间震荡
ETH,ETHUSDT,2302.07,2287.54,2325.28,2278.98,0.635,49.87041036717074,区间震荡
