rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,43038618492.824745,13.28363894,5751163710.733207,37287454782.09154
2,Coinbase Exchange,coinbase-exchange,1331146018.2185252,6.43573657,1331146018.2185252,0.0
3,Upbit,upbit,826277974.7677885,-10.97078929,826277974.7677885,0.0
6,OKX,okx,17549611492.46528,7.10121899,1326564012.2745607,16223047480.19072
7,Bybit,bybit,10687489153.001492,11.32665632,1278860364.65225,9408628788.349241
8,Bitget,bitget,7173493239.036123,20.03056638,780169647.6218672,6393323591.414256
9,Gate,gate,10032561000.01387,15.75838583,1092935675.7305999,8939625324.28327
10,KuCoin,kucoin,3423634095.0467706,6.65601611,1350828401.9309554,2072805693.115815
14,MEXC,mexc,16340616375.393871,-7.8188264,867132317.3945193,15473484057.999352
23,HTX,htx,2934878977.2107077,16.86687248,901854642.0748101,2033024335.1358976
