asset,symbol,price_usd,open_usd,high_usd,low_usd,change_24h_pct,range_pos_pct,trend
BTC,BTCUSDT,70673.5,70525.38,70923.75,69388.0,0.21,83.70503011557871,区间震荡
ETH,ETHUSDT,2158.01,2143.92,2168.0,2116.88,0.657,80.45774647887363,区间震荡
