rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,49282656147.15141,-25.67917994,6431452771.565904,42851203375.58551
2,Coinbase Exchange,coinbase-exchange,1219303251.381589,-22.27341124,1219303251.381589,0.0
3,Upbit,upbit,771759261.2162933,-23.21550684,771759261.2162933,0.0
6,OKX,okx,19222392713.09337,-26.54937638,1212978599.0763855,18048191461.321674
7,Bybit,bybit,14442652611.212294,-17.73560982,1497803616.7416866,12944848994.470608
8,Bitget,bitget,7604106222.225923,-33.83970581,618917501.4157062,6985188720.810216
9,Gate,gate,16066207614.064941,-20.64455321,1464541905.8028193,14601665708.262121
10,KuCoin,kucoin,25499488267.775993,79.38793575,2002662668.184832,23496825599.59116
15,MEXC,mexc,12498578002.355247,-18.98963789,2051853546.0276313,10446724456.327616
22,HTX,htx,2976641100.1035004,-24.10055152,918744937.573619,2057896162.5298815
