symbol,name,price_usd,market_cap_usd,change_24h_pct
BTC,Bitcoin,70782.0,1415432199271.0,0.4344154407260709
ETH,Ethereum,2156.92,260225509533.0,0.8466990535251246
USDT,Tether,0.999826,184150572772.0,-0.008020311640231535
XRP,XRP,1.45,88829993473.0,0.0880855132363198
BNB,BNB,643.48,87726838711.0,0.23269408824448157
USDC,USDC,0.999875,79040518242.0,0.0015796962988887365
SOL,Solana,90.23,51558762995.0,1.7373122611309153
TRX,TRON,0.312192,29582557849.0,2.9816608893406307
FIGR_HELOC,Figure Heloc,1.003,15889689398.0,0.11645665503463468
DOGE,Dogecoin,0.094536,14507398929.0,0.6981797592716837
