symbol,name,price_usd,market_cap_usd,change_24h_pct
BTC,Bitcoin,67118.0,1343022352362.0,0.18398534675066475
ETH,Ethereum,2051.14,247548859866.0,-0.5514968234646399
USDT,Tether,0.999846,184135633780.0,-0.010346175020866655
XRP,XRP,1.31,80531014241.0,-0.8262496077933471
BNB,BNB,589.45,80368336910.0,0.3651712139655879
USDC,USDC,1.0,77528027739.0,0.004344138456145995
SOL,Solana,80.18,45941964409.0,0.24047239705973425
TRX,TRON,0.316843,30013091736.0,1.1193844601633927
FIGR_HELOC,Figure Heloc,1.033,16980990017.0,-0.06691548352893917
DOGE,Dogecoin,0.091152,14009656184.0,-0.33386500542867936
