rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,23049315589.757336,-51.93233885,3588713271.2315063,19460602318.52583
2,Coinbase Exchange,coinbase-exchange,672433153.8774729,-50.47334705,672433153.8774729,0.0
3,Upbit,upbit,690077752.494866,-17.22846924,690077752.494866,0.0
6,OKX,okx,8763097247.661972,-50.27340281,636163017.9551257,8170453882.560956
7,Bybit,bybit,6799150716.088891,-47.91689607,982737365.9819489,5816413350.106942
8,Bitget,bitget,3768844521.9881606,-54.72945951,569538760.3214164,3199305761.666744
9,Gate,gate,5225735122.178986,-51.37697051,712617122.5976797,4513117999.5813055
10,KuCoin,kucoin,2029426963.4409115,-47.44183953,638818688.7252733,1390608274.7156382
14,MEXC,mexc,7183399884.108987,-52.3130629,646485947.8089089,6536913936.300077
24,HTX,htx,1891097364.720389,-50.33956925,897376578.7455075,993720785.9748815
